"Id","Country","Region","Population","Area (sq. mi.)","Coastline","GDP"
1,"Afghanistan ","ASIA (EX. NEAR EAST)         ",31056997,647500,"0,00",700
2,"Albania ","EASTERN EUROPE                     ",3581655,28748,"1,26",4500
3,"Algeria ","NORTHERN AFRICA                    ",32930091,2381740,"0,04",6000
4,"American Samoa ","OCEANIA                            ",57794,199,"58,29",8000
5,"Andorra ","WESTERN EUROPE                     ",71201,468,"0,00",19000
6,"Angola ","SUB-SAHARAN AFRICA                 ",12127071,1246700,"0,13",1900
7,"Anguilla ","LATIN AMER. & CARIB    ",13477,102,"59,80",8600
8,"Antigua & Barbuda ","LATIN AMER. & CARIB    ",69108,443,"34,54",11000
9,"Argentina ","LATIN AMER. & CARIB    ",39921833,2766890,"0,18",11200
10,"Armenia ","C.W. OF IND. STATES ",2976372,29800,"0,00",3500
11,"Aruba ","LATIN AMER. & CARIB    ",71891,193,"35,49",28000
12,"Australia ","OCEANIA                            ",20264082,7686850,"0,34",29000
13,"Austria ","WESTERN EUROPE                     ",8192880,83870,"0,00",30000
14,"Azerbaijan ","C.W. OF IND. STATES ",7961619,86600,"0,00",3400
15,"Bahamas, The ","LATIN AMER. & CARIB    ",303770,13940,"25,41",16700
16,"Bahrain ","NEAR EAST                          ",698585,665,"24,21",16900
17,"Bangladesh ","ASIA (EX. NEAR EAST)         ",147365352,144000,"0,40",1900
18,"Barbados ","LATIN AMER. & CARIB    ",279912,431,"22,51",15700
19,"Belarus ","C.W. OF IND. STATES ",10293011,207600,"0,00",6100
20,"Belgium ","WESTERN EUROPE                     ",10379067,30528,"0,22",29100
21,"Belize ","LATIN AMER. & CARIB    ",287730,22966,"1,68",4900
22,"Benin ","SUB-SAHARAN AFRICA                 ",7862944,112620,"0,11",1100
23,"Bermuda ","NORTHERN AMERICA                   ",65773,53,"194,34",36000
24,"Bhutan ","ASIA (EX. NEAR EAST)         ",2279723,47000,"0,00",1300
25,"Bolivia ","LATIN AMER. & CARIB    ",8989046,1098580,"0,00",2400
26,"Bosnia & Herzegovina ","EASTERN EUROPE                     ",4498976,51129,"0,04",6100
27,"Botswana ","SUB-SAHARAN AFRICA                 ",1639833,600370,"0,00",9000
28,"Brazil ","LATIN AMER. & CARIB    ",188078227,8511965,"0,09",7600
29,"British Virgin Is. ","LATIN AMER. & CARIB    ",23098,153,"52,29",16000
30,"Brunei ","ASIA (EX. NEAR EAST)         ",379444,5770,"2,79",18600
31,"Bulgaria ","EASTERN EUROPE                     ",7385367,110910,"0,32",7600
32,"Burkina Faso ","SUB-SAHARAN AFRICA                 ",13902972,274200,"0,00",1100
33,"Burma ","ASIA (EX. NEAR EAST)         ",47382633,678500,"0,28",1800
34,"Burundi ","SUB-SAHARAN AFRICA                 ",8090068,27830,"0,00",600
35,"Cambodia ","ASIA (EX. NEAR EAST)         ",13881427,181040,"0,24",1900
36,"Cameroon ","SUB-SAHARAN AFRICA                 ",17340702,475440,"0,08",1800
37,"Canada ","NORTHERN AMERICA                   ",33098932,9984670,"2,02",29800
38,"Cape Verde ","SUB-SAHARAN AFRICA                 ",420979,4033,"23,93",1400
39,"Cayman Islands ","LATIN AMER. & CARIB    ",45436,262,"61,07",35000
40,"Central African Rep. ","SUB-SAHARAN AFRICA                 ",4303356,622984,"0,00",1100
41,"Chad ","SUB-SAHARAN AFRICA                 ",9944201,1284000,"0,00",1200
42,"Chile ","LATIN AMER. & CARIB    ",16134219,756950,"0,85",9900
43,"China ","ASIA (EX. NEAR EAST)         ",1313973713,9596960,"0,15",5000
44,"Colombia ","LATIN AMER. & CARIB    ",43593035,1138910,"0,28",6300
45,"Comoros ","SUB-SAHARAN AFRICA                 ",690948,2170,"15,67",700
46,"Congo, Dem. Rep. ","SUB-SAHARAN AFRICA                 ",62660551,2345410,"0,00",700
47,"Congo, Repub. of the ","SUB-SAHARAN AFRICA                 ",3702314,342000,"0,05",700
48,"Cook Islands ","OCEANIA                            ",21388,240,"50,00",5000
